codigo,categoria,unidad,descripcion_corta,descripcion_detallada,mano_de_obra,maquinaria,materiales_y_otros,precio_total,tags,tipo,fecha
A#,General,,AUXILIARES,AUXILIARES,0.0,0.0,0.0,0.0,"auxiliar, ",Capítulo,2000-01-31
A01#,AUXILIARES,,PASTAS Y LECHADAS,PASTAS Y LECHADAS,0.0,0.0,0.0,0.0,"lechada, pasta, ",Capítulo,2000-01-31
A01A#,PASTAS Y LECHADAS,,PASTAS,PASTAS,0.0,0.0,0.0,0.0,"pasta, ",Capítulo,2000-01-31
A01A005,PASTAS Y LECHADAS,m3,PASTA DE CAL APAGADA EN POLVO,"Pasta de cal viva apagada, amasada manualmente.",32.73,0.0,28.33,61.05,"polvo, cal, amasado, manual, pasta, vivo, apagado, ",Partida,2000-01-31
A01A010,PASTAS Y LECHADAS,m3,PASTA DE CAL APAGADA AMASADA,"Pasta de cal viva apagada, amasada manualmente.",32.73,0.0,28.33,61.05,"amasado, apagado, vivo, manual, cal, pasta, ",Partida,2000-01-31
A01A012,PASTAS Y LECHADAS,m3,PASTA DE CAL GRASA AMASADA,"Pasta de cal grasa apagada en pasta, obtenida por fusión en balsas y dejando reposar antes de su utilización durante 4 semanas.",39.57,0.0,61.38,100.95,"amasado, apagado, cal, pasta, ",Partida,2000-01-31
A01A015,PASTAS Y LECHADAS,m3,CAL GRASA APAGADA EN PASTA,"Cal grasa apagada en balsas por el procedimiento de fusión, almacenada en fosas durante 4-5 semanas y suministrada en pasta.",52.76,97.52,23.66,173.94,"almacenar, apagado, suministro, foso, cal, pasta, ",Partida,2000-01-31
A01A020,PASTAS Y LECHADAS,m3,PASTA DE ESCAYOLA,Pasta de escayola amasada manualmente s/RY-85.,32.73,0.0,41.75,74.48,"manual, pasta, amasado, escayola, ",Partida,2000-01-31
A01A030,PASTAS Y LECHADAS,m3,PASTA DE YESO NEGRO,Pasta de yeso negro amasado manualmente s/RY-85.,32.73,0.0,42.54,75.27,"negro, amasado, yeso, pasta, manual, ",Partida,2000-01-31
A01A040,PASTAS Y LECHADAS,m3,PASTA DE YESO BLANCO,"Pasta de yeso blanco amasado manualmente, s/RY-85.",32.73,0.0,51.87,84.6,"blanco, pasta, amasado, yeso, manual, ",Partida,2000-01-31
A01A050,PASTAS Y LECHADAS,m3,YESO PARA PROYECTAR,"Pasta de yeso y aditivos especial para proyectar, amasado a mano, s/RY-85.",32.73,0.0,51.43,84.15,"aditivo, mano, amasado, especial, pasta, yeso, proyección, ",Partida,2000-01-31
A01A060,PASTAS Y LECHADAS,m3,"PASTA CEMENTO CEM II/B-P 32,5 N","Pasta de cemento CEM II/B-P 32,5 N, amasado a mano, s/RC-03.",32.73,0.0,128.88,161.61,"amasado, mano, cemento, pasta, ",Partida,2000-01-31
A01A061,PASTAS Y LECHADAS,m3,"PASTA CEMENTO CEM II/A-P 42,5 R","Pasta de cemento CEM II/A-P 42,5 R, amasado a mano, s/RC-03.",32.73,0.0,124.54,157.26,"amasado, cemento, pasta, mano, ",Partida,2000-01-31
A01A070,PASTAS Y LECHADAS,m3,"PASTA CEMENTO BLANCO BL-V 22,5","Pasta de cemento blanco BL 22,5 X amasado a mano, s/RC-03.",32.73,0.0,189.13,221.86,"amasado, mano, cemento, blanco, pasta, ",Partida,2000-01-31
A01A080,PASTAS Y LECHADAS,m3,"PASTA CEMENTO BLANCO BL-II/A-L 42,5 R","Pasta de cemento blanco BL-II/A-L 42,5 R, amasado a mano, s/RC-03.",32.73,0.0,209.95,242.67,"amasado, cemento, pasta, blanco, mano, ",Partida,2000-01-31
A01L#,PASTAS,,LECHADAS,LECHADAS,0.0,0.0,0.0,0.0,"lechada, ",Capítulo,2000-01-31
A01L010,PASTAS,m3,LECHADA CAL VIVA APAGADA,"Cal viva apagada en lechada, amasada manualmente.",26.18,0.0,24.46,50.64,"amasado, apagado, vivo, manual, cal, lechada, ",Partida,2000-01-31
A01L020,PASTAS,m3,"LECHADA CEMENTO 1/2 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/2, amasada a mano, s/RC-03.",26.18,0.0,41.06,67.24,"cemento, amasado, mano, lechada, ",Partida,2000-01-31
A01L030,PASTAS,m3,"LECHADA CEMENTO 1/3 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/3, amasado a mano, s/RC-03.",26.18,0.0,34.91,61.09,"amasado, mano, cemento, lechada, ",Partida,2000-01-31
A01L040,PASTAS,m3,"LECHADA CEMENTO 1/4 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/4, amasado a mano, s/RC-03.",26.18,0.0,29.21,55.39,"amasado, mano, cemento, lechada, ",Partida,2000-01-31
A01L050,PASTAS,m3,"LECHADA CEMENTO 1/5 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/5, amasado a mano, s/RC-03.",26.18,0.0,18.76,44.94,"cemento, lechada, amasado, mano, ",Partida,2000-01-31
A01L060,PASTAS,m3,"LECHADA CEMENTO 1/6 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/6, amasado a mano, s/RC-03.",26.18,0.0,15.91,42.09,"amasado, mano, cemento, lechada, ",Partida,2000-01-31
A01L070,PASTAS,m3,"LECHADA CEMENTO 1/8 CEM II/B-P 32,5 N","Lechada de cemento CEM II/B-P 32,5 N 1/8, amasado a mano, s/RC-03.",26.18,0.0,12.11,38.29,"amasado, mano, cemento, lechada, ",Partida,2000-01-31
A01L071,PASTAS,m3,"LECHADA CEMENTO 1/2 CEM II/A-P 42,5R","Lechada de cemento CEM II/A-P 42,5 R 1/2, amasado a mano, s/RC-03.",26.18,0.0,39.7,65.88,"mano, amasado, lechada, cemento, ",Partida,2000-01-31
A01L072,PASTAS,m3,"LECHADA CEMENTO 1/4 CEM II/A-P 42,5R","Lechada de cemento CEM II/A-P 42,5 R 1/4, amasado a mano, s/RC-03.",26.18,0.0,28.25,54.43,"cemento, lechada, amasado, mano, ",Partida,2000-01-31
A01L080,PASTAS,m3,"LECHADA CEM. BLANCO BL-II/A-L 42,5 R","Lechada de cemento blanco BL-II/A-L 42,5 R , amasado a mano, s/RC-03.",26.18,0.0,78.26,104.44,"amasado, mano, cemento, blanco, lechada, ",Partida,2000-01-31
A01L090,PASTAS,m3,"LECHADA CEM. BLANCO BL 22,5 X","Lechada de cemento blanco BL 22,5 X amasado a mano, s/RC-03.",26.18,0.0,70.55,96.73,"amasado, mano, cemento, blanco, lechada, ",Partida,2000-01-31
A01L100,PASTAS,m3,LECHADA COLORANTE - CEMENTO,Lechada de mezcla colorante-cemento para revestimientos confeccionada en obra.,43.86,0.0,380.61,424.47,"confeccionar, mezcla, colorante, revestimiento, obra, cemento, lechada, ",Partida,2000-01-31
A02#,LECHADAS,,MORTEROS,MORTEROS,0.0,0.0,0.0,0.0,"mortero, ",Capítulo,2000-01-31
A02A#,MORTEROS,,CEMENTO GRIS,CEMENTO GRIS,0.0,0.0,0.0,0.0,"gris, cemento, ",Capítulo,2000-01-31
A02A010,MORTEROS,m3,MORTERO CEMENTO 1/4 AMASA.A MANO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/4 (M-80), amasado a mano, s/RC-03.",39.27,0.0,49.68,88.95,"dosificación, cemento, mortero, río, areno, amasado, mano, ",Partida,2000-01-31
A02A020,MORTEROS,m3,MORTERO CEMENTO 1/6 AMASA.A MANO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/6 (M-40), amasado a mano, s/RC-03.",39.27,0.0,41.25,80.52,"amasado, cemento, mano, río, mortero, areno, dosificación, ",Partida,2000-01-31
A02A030,MORTEROS,m3,MORTERO CEMENTO 1/1,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/1 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,98.45,121.48,"dosificación, confeccionar, hormigón, cemento, mortero, areno, río, ",Partida,2000-01-31
A02A040,MORTEROS,m3,MORTERO CEMENTO 1/2,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/2 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,71.12,94.15,"hormigón, cemento, mortero, río, areno, confeccionar, dosificación, ",Partida,2000-01-31
A02A050,MORTEROS,m3,MORTERO CEMENTO 1/3 M-160,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/3 (M-160), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,57.38,80.41,"areno, cemento, mortero, río, hormigón, dosificación, confeccionar, ",Partida,2000-01-31
A02A060,MORTEROS,m3,MORTERO CEMENTO 1/4 M-80,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/4 (M-80), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,49.68,72.7,"río, areno, confeccionar, dosificación, hormigón, cemento, mortero, ",Partida,2000-01-31
A02A070,MORTEROS,m3,MORTERO CEMENTO 1/5 M-60,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/5 (M-60), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,44.59,67.61,"dosificación, confeccionar, hormigón, cemento, mortero, areno, río, ",Partida,2000-01-31
A02A080,MORTEROS,m3,MORTERO CEMENTO 1/6 M-40,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/6 (M-40), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,41.25,64.28,"hormigón, dosificación, cemento, confeccionar, areno, mortero, río, ",Partida,2000-01-31
A02A090,MORTEROS,m3,MORTERO CEMENTO 1/8 M-20,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/8 (M-20), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,36.16,59.19,"confeccionar, dosificación, hormigón, cemento, mortero, río, areno, ",Partida,2000-01-31
A02A100,MORTEROS,m3,MORTERO CEMENTO 1/10 M-10,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/10 (M-10), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,33.46,56.49,"confeccionar, hormigón, dosificación, cemento, mortero, areno, río, ",Partida,2000-01-31
A02A110,MORTEROS,m3,MORTERO CEMENTO 1/4 BOMBEADO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/4 (M-80), confeccionado con hormigonera de 250 l. y bombeado con equipo de bombeo entre 40 y 100 m3. diarios, s/RC-03.",24.22,0.77,60.21,85.19,"confeccionar, equipo, hormigón, dosificación, bomba, cemento, areno, río, mortero, ",Partida,2000-01-31
A02A120,MORTEROS,m3,MORTERO CEMENTO 1/6 BOMBEADO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/6 (M-40), confeccionado con hormigonera de 250 l. y bombeado con equipo de bombeo entre 40 y 100 m3. diarios, s/RC-03.",24.22,0.77,51.78,76.77,"mortero, cemento, confeccionar, equipo, hormigón, río, areno, dosificación, bomba, ",Partida,2000-01-31
A02A121,MORTEROS,m3,MORTERO CEMENTO 1/8 BOMBEADO,"Mortero de cemento CEM II/B-P 32,5 N  y arena de río de dosificación 1/8 (M-20), confeccionado con hormigonera de 250 l. y bombeado con equipo de bombeo entre 40 y 100 m3. diarios, s/RC-03.",24.22,0.77,46.69,71.68,"equipo, bomba, hormigón, confeccionar, mortero, areno, río, cemento, dosificación, ",Partida,2000-01-31
A02A124,MORTEROS,m3,MORT.CEMEN.CENTRAL 1/3 M-160,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/3 (M-160), preparado en central y suministrado a pie de obra, s/RC-03.",0.0,0.0,54.0,54.0,"dosificación, cemento, preparación, suministro, pie, mortero, río, areno, obra, central, ",Partida,2004-05-01
A02A125,MORTEROS,m3,MORT.CEMEN.CENTRAL 1/4 M-80,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/4 (M-80), preparado en central y suministrado a pie de obra, s/RC-03.",0.0,0.0,49.0,49.0,"preparación, pie, obra, suministro, central, mortero, areno, dosificación, río, cemento, ",Partida,2000-01-31
A02A126,MORTEROS,m3,MORT.CEMEN.CENTRAL 1/6 M-40,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/6 (M-40), preparado en central y suministrado a pie de obra, s/RC-03.",0.0,0.0,47.0,47.0,"suministro, río, dosificación, central, pie, cemento, mortero, areno, preparación, obra, ",Partida,2000-01-31
A02A127,MORTEROS,m3,MORT.CEMEN.CENTRAL 1/3 M-160 BOMBEADO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/3 (M-160), preparado en central y bombeado con equipo de bombeo entre 40 y 100 m3 diarios, s/RC-03.",0.0,0.0,64.53,64.53,"mortero, cemento, equipo, central, bomba, preparación, río, areno, dosificación, ",Partida,2000-01-31
A02A128,MORTEROS,m3,MORT.CEMEN.CENTRAL 1/4 M-80 BOMBEADO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/4 (M-80), preparado en central y bombeado con equipo de bombeo entre 40 y 100 m3 diarios, s/RC-03.",0.0,0.0,59.53,59.53,"central, bomba, areno, equipo, preparación, río, mortero, dosificación, cemento, ",Partida,2000-01-31
A02A129,MORTEROS,m3,MORT.CEMEN.CENTRAL 1/6 M-40 BOMBEADO,"Mortero de cemento CEM II/B-P 32,5 N y arena de río de dosificación 1/6 (M-40), preparado en central y bombeado con equipo de bombeo entre 40 y 100 m3 diarios, s/RC-03.",0.0,0.0,57.53,57.53,"central, río, equipo, bomba, dosificación, mortero, areno, cemento, preparación, ",Partida,2000-01-31
A02A130,MORTEROS,m3,MORTERO CEMENTO 1/4 M-80 C/A.MIGA,"Mortero de cemento CEM II/B-P 32,5 N y arena de miga de dosificación 1/4 (M-80), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,44.93,67.95,"confeccionar, dosificación, hormigón, cemento, mortero, areno, ",Partida,2000-01-31
A02A140,MORTEROS,m3,MORTERO CEMENTO 1/6 M-40 C/A.MIGA,"Mortero de cemento CEM II/B-P 32,5 N y arena de miga de dosificación 1/6 (M-40), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,36.18,59.21,"areno, dosificación, mortero, cemento, hormigón, confeccionar, ",Partida,2000-01-31
A02A150,MORTEROS,m3,MORTERO CEMENTO 1/8 M-20 C/A.MIGA,"Mortero de cemento CEM II/B-P 32,5 N y arena de miga de dosificación 1/8 (M-20), confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,30.91,53.93,"confeccionar, dosificación, hormigón, cemento, mortero, areno, ",Partida,2000-01-31
A02B#,CEMENTO GRIS,,CEMENTO BLANCO,CEMENTO BLANCO,0.0,0.0,0.0,0.0,"cemento, blanco, ",Capítulo,2000-01-31
A02B010,CEMENTO GRIS,m3,MORTERO CEMENTO BLANCO 1/2,"Mortero de cemento blanco BL-II/A-L 42,5 R , y arena de río de dosificación 1/2 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,107.15,130.18,"dosificación, confeccionar, hormigón, cemento, mortero, río, areno, blanco, ",Partida,2000-01-31
A02B020,CEMENTO GRIS,m3,MORTERO CEMENTO BLANCO 1/3,"Mortero de cemento blanco BL-II/A-L 42,5 R y arena de río de dosificación 1/3 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,83.8,106.83,"mortero, río, hormigón, dosificación, blanco, cemento, confeccionar, areno, ",Partida,2000-01-31
A02B030,CEMENTO GRIS,m3,MORTERO CEMENTO BLANCO 1/4,"Mortero de cemento blanco BL-II/A-L 42,5 R y arena de río de dosificación 1/4 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,70.69,93.72,"dosificación, confeccionar, hormigón, cemento, mortero, río, areno, blanco, ",Partida,2000-01-31
A02B031,CEMENTO GRIS,m3,MORTERO CEMENTO BLANCO 1/6,"Mortero de cemento blanco BL-II/A-L 42,5 R y arena de río de dosificación 1/6 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,56.26,79.29,"hormigón, cemento, mortero, río, blanco, areno, confeccionar, dosificación, ",Partida,2000-01-31
A02B040,CEMENTO GRIS,m3,MORTERO CEM.BLANCO AR.BLANCA 1/2,"Mortero de cemento blanco BL-II/A-L 42,5 R y arena blanca nº 2 de dosificación 1/2 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,107.33,130.36,"areno, cemento, mortero, blanco, hormigón, dosificación, confeccionar, ",Partida,2000-01-31
A02B050,CEMENTO GRIS,m3,MORTERO CEM.BLANCO AR.BLANCA 1/3,"Mortero de cemento blanco BL-II/A-L 42,5 R y arena blanca nº 2 de dosificación 1/3 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,84.0,107.02,"areno, confeccionar, dosificación, hormigón, cemento, mortero, blanco, ",Partida,2000-01-31
A02B060,CEMENTO GRIS,m3,MORTERO CEM.BLANCO AR.BLANCA 1/4,"Mortero de cemento blanco BL-II/A-L 42,5 R y arena blanca nº 2 de dosificación 1/4 confeccionado con hormigonera de 250 l., s/RC-03.",22.25,0.77,70.9,93.92,"hormigón, dosificación, cemento, mortero, blanco, confeccionar, areno, ",Partida,2000-01-31
A02B070,CEMENTO GRIS,m3,"MORT.CEM.BLANCO BL-II 42,5R 1/4 CENT.","Mortero de cemento blanco BL-II/A-L 42,5 R y arena de río de dosificación 1/4, preparado en central y suministrado a pie de obra, s/RC-03.",0.0,0.0,58.0,58.0,"mortero, obra, dosificación, suministro, pie, cemento, blanco, central, areno, preparación, río, ",Partida,2000-01-31
A02B080,CEMENTO GRIS,m3,"MORT.CEM.BLANCO BL-II 42,5R 1/6 CENT.","Mortero de cemento blanco BL-II/A-L 42,5 R y arena de río de dosificación 1/6, preparado en central y suministrado a pie de obra, s/RC-03.",0.0,0.0,56.0,56.0,"central, blanco, suministro, preparación, pie, cemento, mortero, río, areno, dosificación, obra, ",Partida,2000-01-31
A02C#,CEMENTO BLANCO,,CAL,CAL,0.0,0.0,0.0,0.0,"cal, ",Capítulo,2000-01-31
A02C010,CEMENTO BLANCO,m3,MORTERO DE CAL 1/2,Mortero de cal y arena de río de dosificación 1/2 confeccionado con hormigonera de 250 l.,22.25,0.77,42.14,65.17,"confeccionar, hormigón, dosificación, cal, mortero, areno, río, ",Partida,2000-01-31
A02C020,CEMENTO BLANCO,m3,MORTERO DE CAL 1/3,Mortero de cal y arena de río de dosificación 1/3 confeccionado con hormigonera de 250 l.,22.25,0.77,35.61,58.63,"río, areno, dosificación, mortero, hormigón, confeccionar, cal, ",Partida,2000-01-31
A02C030,CEMENTO BLANCO,m3,MORTERO DE CAL 1/4,Mortero de cal y arena de río de dosificación 1/4 confeccionado con hormigonera de 250 l.,22.25,0.77,33.34,56.36,"confeccionar, dosificación, hormigón, cal, mortero, río, areno, ",Partida,2000-01-31
A02C040,CEMENTO BLANCO,m3,"MORTERO DE CAL GRASA  1/3 0,3mm","Mortero de cal para ejecución de estucos y revocos naturales, de dosificación 1/3, confeccionado a partir de cal grasa apagada en pasta obtenida mediante apagado de cal viva aérea (preferentemente calcinada con leña, cal leña) por el procedimiento de fusión en balsas apropiadas, refinada tamizando los caliches con tamiz 20 de luz de malla 1,25 mm. y dejando reposar en fosas durante 4-5 semanas al menos, y arena de mármol, lavadas procedentes de la trituración de rocas naturales arena de mármol, de granulometría muy fina 0,1-0,3 mm., según UNE 7.050, confeccionado en obra mediante amasado mecánico en batidera apropiada momento en el que se le añaden los pigmentos constituidos exclusivamente por tierras naturales para conseguir el color, incluso almacenado en recipientes herméticos para su transporte y aplicación en obra.",22.42,0.71,92.22,115.36,"apagado, recipiente, revoco, caliche, confeccionar, granulometría, tamiz, amasado, refinar, aéreo, luz, fino, aplicación, ejecución, apto, natural, almacenar, vivo, dosificación, transporte, mármol, pasta, roca, malla, foso, mecánico, obra, estuco, cal, areno, color, tierra, mortero, lavadero, colorante, ",Partida,2000-01-31
A02C045,CEMENTO BLANCO,m3,"MORTERO DE CAL GRASA  1/3 0,5mm","Mortero de cal para ejecución de estucos y revocos naturales, de dosificación 1/3, confeccionado a partir de cal grasa apagada en pasta obtenida mediante apagado de cal viva aérea (preferentemente calcinada con leña, cal leña) por el procedimiento de fusión en balsas apropiadas, refinada tamizando los caliches con tamiz 20 de luz de malla 1,25 mm. y dejando reposar en fosas durante 4-5 semanas al menos, y arena de mármol, lavadas procedentes de la trituración de rocas naturales arena de mármol, de granulometría fina 0,3-0,50 mm., según UNE 7.050, confeccionado en obra mediante amasado mecánico en batidera apropiada momento en el que se le añaden los pigmentos constituidos exclusivamente por tierras naturales para conseguir el color, incluso almacenado en recipientes herméticos para su transporte y aplicación en obra.",61.99,0.71,58.29,120.99,"revoco, apagado, luz, confeccionar, granulometría, tamiz, refinar, recipiente, ejecución, vivo, aplicación, apto, aéreo, amasado, almacenar, mortero, fino, dosificación, pasta, roca, malla, foso, mecánico, transporte, obra, cal, mármol, lavadero, natural, areno, tierra, colorante, color, estuco, caliche, ",Partida,2000-01-31
A02C050,CEMENTO BLANCO,m3,"MORTERO DE CAL GRASA  1/3 1,5mm","Mortero de cal para ejecución de estucos y revocos naturales, de dosificación 1/3, confeccionado a partir de cal grasa apagada en pasta obtenida mediante apagado de cal viva aérea (preferentemente calcinada con leña, cal leña) por el procedimiento de fusión en balsas apropiadas, refinada tamizando los caliches con tamiz 20 de luz de malla 1,25 mm. y dejando reposar en fosas durante 4-5 semanas al menos, y arena de mármol, lavadas procedentes de la trituración de rocas naturales arena de mármol, de granulometría mediana 0,5-1,50 mm., según UNE 7.050, confeccionado en obra mediante amasado mecánico en batidera apropiada momento en el que se le añaden los pigmentos constituidos exclusivamente por tierras naturales para conseguir el color, incluso almacenado en recipientes herméticos para su transporte y aplicación en obra.",22.42,1.21,92.22,115.85,"refinar, mediano, caliche, tamiz, estuco, revoco, vivo, almacenar, aéreo, confeccionar, luz, aplicación, ejecución, apagado, amasado, color, recipiente, mecánico, colorante, transporte, granulometría, foso, malla, natural, obra, roca, dosificación, areno, lavadero, mortero, tierra, pasta, mármol, apto, cal, ",Partida,2000-01-31
A02C060,CEMENTO BLANCO,m3,"MORTERO DE CAL GRASA  1/4 0,5mm","Mortero de cal para ejecución de estucos y revocos naturales, de dosificación 1/4, confeccionado a partir de cal grasa apagada en pasta obtenida mediante apagado de cal viva aérea (preferentemente calcinada con leña, cal leña) por el procedimiento de fusión en balsas apropiadas, refinada tamizando los caliches con tamiz 20 de luz de malla 1,25 mm. y dejando reposar en fosas durante 4-5 semanas al menos, y arena de mármol, lavadas procedentes de la trituración de rocas naturales arena de mármol, de granulometría fina 0,3-0,50 mm., según UNE 7.050, confeccionado en obra mediante amasado mecánico en batidera apropiada momento en el que se le añaden los pigmentos constituidos exclusivamente por tierras naturales para conseguir el color, incluso almacenado en recipientes herméticos para su transporte y aplicación en obra.",22.42,1.21,82.24,105.87,"recipiente, estuco, refinar, amasado, granulometría, confeccionar, aéreo, tamiz, apto, ejecución, vivo, revoco, fino, luz, apagado, caliche, aplicación, transporte, roca, almacenar, dosificación, malla, mecánico, obra, natural, cal, mármol, foso, areno, lavadero, colorante, color, pasta, tierra, mortero, ",Partida,2000-01-31
A02C070,CEMENTO BLANCO,m3,"MORTERO DE CAL GRASA  1/4 1,5mm","Mortero de cal para ejecución de estucos y revocos naturales, de dosificación 1/4, confeccionado a partir de cal grasa apagada en pasta obtenida mediante apagado de cal viva aérea (preferentemente calcinada con leña, cal leña) por el procedimiento de fusión en balsas apropiadas, refinada tamizando los caliches con tamiz 20 de luz de malla 1,25 mm. y dejando reposar en fosas durante 4-5 semanas al menos, y arena de mármol, lavadas procedentes de la trituración de rocas naturales arena de mármol, de granulometría mediana 0,5-1,50 mm., según UNE 7.050, confeccionado en obra mediante amasado mecánico en batidera apropiada momento en el que se le añaden los pigmentos constituidos exclusivamente por tierras naturales para conseguir el color, incluso almacenado en recipientes herméticos para su transporte y aplicación en obra.",22.42,1.21,85.22,108.85,"aplicación, apto, confeccionar, tamiz, amasado, mediano, almacenar, caliche, mortero, recipiente, granulometría, apagado, aéreo, ejecución, roca, vivo, luz, estuco, color, mecánico, foso, colorante, transporte, refinar, natural, obra, tierra, lavadero, pasta, mármol, areno, revoco, cal, dosificación, malla, ",Partida,2000-01-31
A02C080,CEMENTO BLANCO,m3,"MORTERO DE CAL GRASA  1/4 2,0mm","Mortero de cal para ejecución de estucos y revocos naturales, de dosificación 1/4, confeccionado a partir de cal grasa apagada en pasta obtenida mediante apagado de cal viva aérea (preferentemente calcinada con leña, cal leña) por el procedimiento de fusión en balsas apropiadas, refinada tamizando los caliches con tamiz 20 de luz de malla 1,25 mm. y dejando reposar en fosas durante 4-5 semanas al menos, y arena de mármol, lavadas procedentes de la trituración de rocas naturales arena de mármol, de granulometría gruesa 1,5-2,00 mm., según UNE 7.050, confeccionado en obra mediante amasado mecánico en batidera apropiada momento en el que se le añaden los pigmentos constituidos exclusivamente por tierras naturales para conseguir el color, incluso almacenado en recipientes herméticos para su transporte y aplicación en obra.",22.42,0.71,82.24,105.37,"recipiente, colorante, amasado, aplicación, confeccionar, almacenar, refinar, caliche, apagado, vivo, aéreo, luz, apto, mármol, tamiz, estuco, revoco, cal, areno, obra, transporte, mecánico, roca, malla, foso, lavadero, granulometría, mortero, tierra, pasta, color, natural, grueso, ejecución, dosificación, ",Partida,2000-01-31
A02M#,CAL,,MIXTOS,MIXTOS,0.0,0.0,0.0,0.0,"mixto, ",Capítulo,2000-01-31
A02M010,CAL,m3,"MORT.BAST.CAL 1/1/4 CEM II/A-P 32,5R","Mortero bastardo con cemento CEM II/B-P 32,5 N cal y arena de río de dosificación 1/1/4 confeccionado con hormigonera de 250 l., s/RC-03.",23.56,0.96,54.37,78.9,"bastardo, hormigón, confeccionar, dosificación, río, areno, cemento, cal, mortero, ",Partida,2000-01-31
A02M020,CAL,m3,"MORT.BAST.CAL 1/1/6 CEM II/A-P 32,5R","Mortero bastardo con cemento CEM II/B-P 32,5 N cal y arena de río de dosificación 1/1/6 confeccionado con hormigonera de 250 l., s/RC-03.",23.56,0.96,46.55,71.07,"mortero, confeccionar, bastardo, cal, cemento, río, areno, hormigón, dosificación, ",Partida,2000-01-31
A02M030,CAL,m3,"MORT.BAST.CAL 1/1/4 CEM BL-II/A-L 42,5 R","Mortero bastardo con cemento blanco BL-II/A-L 42,5 R, cal y arena de río de dosificación 1/1/4, confeccionado con hormigonera de 250 l., s/RC-03.",23.56,0.96,71.79,96.31,"hormigón, bastardo, cal, confeccionar, dosificación, mortero, río, areno, cemento, blanco, ",Partida,2000-01-31
A02M040,CAL,m3,"MORT.BAST.CAL 1/1/6 CEM BL-II/A-L 42,5 R","Mortero bastardo con cemento blanco BL-II/A-L 42,5 R, cal y arena de río de dosificación 1/1/6, confeccionado con hormigonera de 250 l., s/RC-03.",23.56,0.96,59.76,84.28,"río, bastardo, dosificación, hormigón, cemento, areno, confeccionar, blanco, cal, mortero, ",Partida,2000-01-31
A02M050,CAL,m3,"M.B.C.II/B-P 32,5N BL-II/A-L 42,5R 1/1/4","Mortero bastardo con cemento CEM II/B-P 32,5 N, cemento blanco BL-II/A-L 42,5 R y arena de río de dosificación 1/1/4, confeccionado con hormigonera de 250 l., s/RC-03.",23.56,0.96,93.8,118.32,"río, mortero, bastardo, dosificación, confeccionar, blanco, areno, hormigón, cemento, ",Partida,2000-01-31
