codigo,categoria,unidad,descripcion_corta,descripcion_detallada,mano_de_obra,maquinaria,materiales_y_otros,precio_total,tags,tipo,fecha
E20XVT040,POR TES UNIPIPE PERT-AL-PERT Y PVC,ud,"INST.TES POL.W-PEX COC.,2 BAÑOS Y ASEO","Instalación de fontanería completa para vivienda compuesta de cocina, dos baños completos y aseo con tuberías de polietileno reticulado Wirsbo-PEX (método Engel), empleando el sistema Quick & Easy de derivaciones por tes para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,712.1,712.1,"sanitario, vivienda, ascendente, compuesto, baño, desagüe, derivación, caliente, interior, red, aparato, aseo, tubería, agua, PVC, polietileno, frío, retícula, terminación, instalación, fontanería, cocina, te, bajante, ",Partida,2000-01-31
E20XVT050,POR TES UNIPIPE PERT-AL-PERT Y PVC,ud,INST.TES POL.W-PEX COCINA Y ASEO C/DUCHA,"Instalación de fontanería completa para vivienda compuesta de cocina y aseo con ducha, con tuberías de polietileno reticulado Wirsbo-PEX (método Engel), empleando el sistema Quick & Easy de derivaciones por tes para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,325.88,325.88,"tubería, vivienda, ascendente, cocina, ducha, sanitario, desagüe, derivación, aparato, caliente, aseo, bajante, polietileno, compuesto, PVC, terminación, retícula, fontanería, instalación, red, agua, interior, te, frío, ",Partida,2000-01-31
E20XVT060,POR TES UNIPIPE PERT-AL-PERT Y PVC,ud,INS.TES POL.W-PEX COC.+BAÑO+ASEO C/DUCHA,"Instalación de fontanería completa para vivienda compuesta de cocina, baño completo  y aseo con ducha, con tuberías de polietileno reticulado Wirsbo-PEX (método Engel), empleando el sistema Quick & Easy de derivaciones por tes para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,554.34,554.34,"aparato, caliente, aseo, derivación, desagüe, vivienda, sanitario, ducha, cocina, ascendente, tubería, fontanería, baño, compuesto, te, agua, interior, instalación, polietileno, terminación, retícula, frío, bajante, PVC, red, ",Partida,2000-01-31
E20XVW#,POR TES POLIET. RET. WIRSBO-PEX Y PVC,,REEMPL. EN POLIET. RET. WIRSBO-PEX Y PVC,REEMPL. EN POLIET. RET. WIRSBO-PEX Y PVC,0.0,0.0,0.0,0.0,"retícula, PVC, ",Capítulo,2000-01-31
E20XVW010,POR TES POLIET. RET. WIRSBO-PEX Y PVC,ud,REEMPL.P.WIRSBO-PEX C/COC+BAÑO,"Instalación de fontanería completa, reemplazable para vivienda compuesta de cocina y baño completo con tuberías de polietileno reticulado Wirsbo-PEX (método Engel) con corrugado (sistema tubo en tubo), empleando el sistema Wirsbo Quick & Easy  de colectores para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,443.74,443.74,"sanitario, ascendente, interior, caliente, desagüe, agua, vivienda, cocina, compuesto, bajante, tubería, baño, red, aparato, instalación, tubo, fontanería, colector, corrugado, polietileno, terminación, retícula, frío, PVC, ",Partida,2000-01-31
E20XVW020,POR TES POLIET. RET. WIRSBO-PEX Y PVC,ud,REEMPL.P.WIRSBO-PEX C/COC+B+ASEO C/DUCHA,"Instalación de fontanería completa, reemplazable para vivienda compuesta de cocina, baño completos y aseo con ducha, con tuberías de polietileno reticulado Wirsbo-PEX (método Engel) con corrugado (sistema tubo en tubo), empleando el sistema Wirsbo Quick & Easy  de colectores para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,639.63,639.63,"PVC, sanitario, compuesto, bajante, cocina, ducha, vivienda, desagüe, caliente, aseo, interior, aparato, agua, tubería, baño, corrugado, frío, retícula, terminación, colector, fontanería, red, tubo, instalación, polietileno, ascendente, ",Partida,2000-01-31
E20XVW030,POR TES POLIET. RET. WIRSBO-PEX Y PVC,ud,REEMPL.P.WIRSBO-PEX C/COC+2B,"Instalación de fontanería completa, reemplazable para vivienda compuesta de cocina y dos baños completos con tuberías de polietileno reticulado Wirsbo-PEX (método Engel) con corrugado (sistema tubo en tubo),empleando el sistema Wirsbo Quick & Easy  de colectores para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,707.36,707.36,"aparato, ascendente, baño, cocina, sanitario, vivienda, desagüe, caliente, agua, compuesto, tubo, interior, retícula, frío, instalación, terminación, polietileno, corrugado, colector, red, PVC, tubería, bajante, fontanería, ",Partida,2000-01-31
E20XVW040,POR TES POLIET. RET. WIRSBO-PEX Y PVC,ud,REEMPL.P.W-PEX C/COC+2B+ASEO C/DUCHA,"Instalación de fontanería completa, reemplazable para vivienda compuesta de cocina y dos baños completos y aseo con ducha, con tuberías de polietileno reticulado Wirsbo-PEX (método Engel) con corrugado (sistema tubo en tubo), empleando el sistema Wirsbo Quick & Easy  de colectores para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,903.25,903.25,"interior, bajante, compuesto, ducha, vivienda, aparato, desagüe, cocina, aseo, agua, sanitario, fontanería, caliente, retícula, baño, frío, terminación, polietileno, corrugado, colector, red, instalación, tubería, tubo, ascendente, PVC, ",Partida,2000-01-31
E20XVW050,POR TES POLIET. RET. WIRSBO-PEX Y PVC,ud,REEMPL.P.WIRSBO-PEX C/COC+A.C/DUCHA,"Instalación de fontanería completa, reemplazable para vivienda compuesta de cocina y aseo con ducha, con tuberías de polietileno reticulado Wirsbo-PEX (método Engel) con corrugado (sistema tubo en tubo), empleando el sistema Wirsbo Quick & Easy  de colectores para las redes de agua fría y caliente y con tuberías de PVC serie C para las redes de desagüe, terminada, sin aparatos sanitarios y con p.p. de redes interiores de ascendentes y bajantes.",0.0,0.0,376.01,376.01,"aseo, interior, compuesto, cocina, ducha, sanitario, vivienda, desagüe, agua, tubo, PVC, aparato, instalación, ascendente, bajante, frío, caliente, retícula, tubería, polietileno, corrugado, colector, fontanería, red, terminación, ",Partida,2000-01-31
E20XW#,REEMPL. EN POLIET. RET. WIRSBO-PEX Y PVC,,EN ELEMENTOS SINGULARES,EN ELEMENTOS SINGULARES,0.0,0.0,0.0,0.0,,Capítulo,2000-01-31
